State,County Name,countyFIPS,Date,cases moving_avg
AL,Autauga County,1001,2021-01-06,68.71428571428571
AL,Baldwin County,1003,2021-01-06,180.57142857142856
AL,Barbour County,1005,2021-01-06,15.0
AL,Bibb County,1007,2021-01-06,18.142857142857142
AL,Blount County,1009,2021-01-06,44.85714285714285
AL,Bullock County,1011,2021-01-06,11.285714285714285
AL,Butler County,1013,2021-01-06,12.857142857142858
AL,Calhoun County,1015,2021-01-06,97.28571428571428
AL,Chambers County,1017,2021-01-06,29.857142857142854
AL,Cherokee County,1019,2021-01-06,9.285714285714286
AL,Chilton County,1021,2021-01-06,30.57142857142857
AL,Choctaw County,1023,2021-01-06,0.7142857142857143
AL,Clarke County,1025,2021-01-06,20.142857142857142
AL,Clay County,1027,2021-01-06,7.571428571428571
AL,Cleburne County,1029,2021-01-06,9.142857142857142
AL,Coffee County,1031,2021-01-06,47.0
AL,Colbert County,1033,2021-01-06,40.857142857142854
AL,Conecuh County,1035,2021-01-06,6.857142857142858
AL,Coosa County,1037,2021-01-06,7.857142857142858
AL,Covington County,1039,2021-01-06,25.142857142857146
AL,Crenshaw County,1041,2021-01-06,16.571428571428573
AL,Cullman County,1043,2021-01-06,65.28571428571429
AL,Dale County,1045,2021-01-06,35.285714285714285
AL,Dallas County,1047,2021-01-06,19.857142857142858
AL,DeKalb County,1049,2021-01-06,51.0
AL,Elmore County,1051,2021-01-06,105.42857142857143
AL,Escambia County,1053,2021-01-06,28.42857142857143
AL,Etowah County,1055,2021-01-06,94.57142857142857
AL,Fayette County,1057,2021-01-06,11.857142857142858
AL,Franklin County,1059,2021-01-06,21.428571428571427
AL,Geneva County,1061,2021-01-06,20.142857142857142
AL,Greene County,1063,2021-01-06,6.7142857142857135
AL,Hale County,1065,2021-01-06,16.142857142857142
AL,Henry County,1067,2021-01-06,18.285714285714285
AL,Houston County,1069,2021-01-06,92.0
AL,Jackson County,1071,2021-01-06,56.0
AL,Jefferson County,1073,2021-01-06,622.1428571428571
AL,Lamar County,1075,2021-01-06,8.714285714285714
AL,Lauderdale County,1077,2021-01-06,66.85714285714286
AL,Lawrence County,1079,2021-01-06,25.142857142857146
AL,Lee County,1081,2021-01-06,115.0
AL,Limestone County,1083,2021-01-06,73.71428571428571
AL,Lowndes County,1085,2021-01-06,9.571428571428571
AL,Macon County,1087,2021-01-06,8.428571428571429
AL,Madison County,1089,2021-01-06,318.14285714285717
AL,Marengo County,1091,2021-01-06,11.714285714285715
AL,Marion County,1093,2021-01-06,24.857142857142854
AL,Marshall County,1095,2021-01-06,71.57142857142857
AL,Mobile County,1097,2021-01-06,244.0
AL,Monroe County,1099,2021-01-06,17.428571428571427
AL,Montgomery County,1101,2021-01-06,185.0
AL,Morgan County,1103,2021-01-06,103.28571428571428
AL,Perry County,1105,2021-01-06,6.571428571428571
AL,Pickens County,1107,2021-01-06,14.142857142857142
AL,Pike County,1109,2021-01-06,20.428571428571427
AL,Randolph County,1111,2021-01-06,10.0
AL,Russell County,1113,2021-01-06,23.857142857142854
AL,St. Clair County,1115,2021-01-06,72.28571428571429
AL,Shelby County,1117,2021-01-06,189.0
AL,Sumter County,1119,2021-01-06,6.857142857142858
AL,Talladega County,1121,2021-01-06,59.57142857142857
AL,Tallapoosa County,1123,2021-01-06,19.0
AL,Tuscaloosa County,1125,2021-01-06,163.42857142857142
AL,Walker County,1127,2021-01-06,39.857142857142854
AL,Washington County,1129,2021-01-06,11.428571428571427
AL,Wilcox County,1131,2021-01-06,5.7142857142857135
AL,Winston County,1133,2021-01-06,18.714285714285715
DE,Kent County,10001,2021-01-06,132.42857142857142
DE,New Castle County,10003,2021-01-06,392.57142857142856
DE,Sussex County,10005,2021-01-06,206.7142857142857
DC,District of Columbia,11001,2021-01-06,246.28571428571428
FL,Alachua County,12001,2021-01-06,161.42857142857142
FL,Baker County,12003,2021-01-06,20.714285714285715
FL,Bay County,12005,2021-01-06,128.71428571428572
FL,Bradford County,12007,2021-01-06,16.142857142857142
FL,Brevard County,12009,2021-01-06,270.14285714285717
FL,Broward County,12011,2021-01-06,1221.7142857142858
FL,Calhoun County,12013,2021-01-06,15.428571428571427
FL,Charlotte County,12015,2021-01-06,106.71428571428572
FL,Citrus County,12017,2021-01-06,81.57142857142857
FL,Clay County,12019,2021-01-06,171.71428571428572
FL,Collier County,12021,2021-01-06,176.4285714285714
FL,Columbia County,12023,2021-01-06,55.28571428571429
FL,DeSoto County,12027,2021-01-06,20.571428571428573
FL,Dixie County,12029,2021-01-06,10.857142857142858
FL,Duval County,12031,2021-01-06,903.2857142857144
FL,Escambia County,12033,2021-01-06,293.42857142857144
FL,Flagler County,12035,2021-01-06,63.14285714285714
FL,Franklin County,12037,2021-01-06,12.142857142857142
FL,Gadsden County,12039,2021-01-06,51.42857142857143
FL,Gilchrist County,12041,2021-01-06,9.857142857142858
FL,Glades County,12043,2021-01-06,3.571428571428572
FL,Gulf County,12045,2021-01-06,13.142857142857142
FL,Hamilton County,12047,2021-01-06,12.0
FL,Hardee County,12049,2021-01-06,16.0
FL,Hendry County,12051,2021-01-06,28.857142857142854
FL,Hernando County,12053,2021-01-06,99.71428571428572
FL,Highlands County,12055,2021-01-06,47.85714285714285
FL,Hillsborough County,12057,2021-01-06,862.2857142857142
FL,Holmes County,12059,2021-01-06,28.285714285714285
FL,Indian River County,12061,2021-01-06,121.14285714285714
FL,Jackson County,12063,2021-01-06,37.714285714285715
FL,Jefferson County,12065,2021-01-06,13.714285714285715
FL,Lafayette County,12067,2021-01-06,3.7142857142857135
FL,Lake County,12069,2021-01-06,242.28571428571428
FL,Lee County,12071,2021-01-06,451.1428571428572
FL,Leon County,12073,2021-01-06,237.7142857142857
FL,Levy County,12075,2021-01-06,30.285714285714285
FL,Liberty County,12077,2021-01-06,8.857142857142858
FL,Madison County,12079,2021-01-06,9.285714285714286
FL,Manatee County,12081,2021-01-06,244.28571428571428
FL,Marion County,12083,2021-01-06,249.7142857142857
FL,Martin County,12085,2021-01-06,72.57142857142857
FL,Miami-Dade County,12086,2021-01-06,2686.5714285714284
FL,Monroe County,12087,2021-01-06,32.857142857142854
FL,Nassau County,12089,2021-01-06,94.71428571428572
